"Code tiers","Nom de l'association","Sigle de l'association","Descriptif","Adresse 1","Adresse 2","Code postal","Ville","Telephone","Mail","Site Internet","Code catégorie","Libellé catégorie","Code sous-catégorie","Libellé sous-catégorie","Site","Adresse du site","Horaires d'ouverture","Permanences","Public visé"
"00015443","Culture et bibliothèque pour tous","CBPT","Prêt de livres, culture, bibliothèque, accueil et amitiés","22 rue du Plat","","69002","Lyon","04 72 41 07 69","cbpt69@orange.fr","","0000000002","Culture","00000008","Théâtre/lettres/philosophie","Centre Social de Cusset","87 rue Pierre Voyant","Lundi de 16h30 à 19h00 Jeudi de 16h00 à 18h30 Samedi de 9h30 à 11h30","","Tout public"
"00015449","Arbralégumes","","Relier producteurs et consommateurs par une distribution de paniers de fruits et légumes issus de l'agriculture biologique ou en démarche de conversion","61 avenue des Bruyères","","69150","Décines Charpieu","04 72 04 62 85","contact@arbralegumes.net","www.arbralegumes.net","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","Village Vertical","3 rue Raymond Terracher","","","tout public"
"00025808","Nous et vous","ANV","Création de lien social, participation à l'amélioration du cadre de vie des habitants, organisation d'évènements festifs ayant pour objectif principal la convivialité.","51 rue du Canal","","69100","Villeurbanne","","nousetvous69@gmail.com","","0000000001","Cadre de vie / vie de quartier","00000004","Vie de quartier","","","","",""
"00015629","Les jardins Saint Pierre Chanel","","Promotion et développement de la culture des jardins familiaux à des fins non lucratives et non commerciales sur un terrain mis à disposition par la ville.","Chez Evelyne BONNET","6 rue Séverine","69100","Villeurbanne","04 78 26 16 91","evaujardin@yahoo.fr","","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","89 rue Legay","","","","Familles de Villeurbanne"
"00015630","Le jardin du Vert Luizet","","Réunir des habitants désireux de faire vivre un jardin collectif d'habitants dans le respect des chartes jardiner co-citoyen.","46 cours Tolstoï","","69100","Villeurbanne","","","levertluizet.canalblog.com","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","8 rue de l'espoir","","Samedi et dimanche après-midi","","Tout public"
"00015631","L'Atelier Charles Hernu","","Organiser une réflexion sur la personnalité de Charles Hernu et des manifestations ayant pour but de perpétuer son souvenir","chez Mme Chantal Lazartigues","203 cours Emile Zola","69100","Villeurbanne","04 78 85 66 23","clazartigues@voila.fr","","0000000002","Culture","00000005","Patrimoine/cultures traditionnelles","Au siège social","","Réunion une fois par mois au siège social ou chez un adhérent. Une réunion publique par trimestre.","","Tout public"
"00025814","Association des responsables de copropriétés Rhône-Alpes","ARC RA","Accompagnement des adhérents individuels et collectifs dans la gestion juridique et comptable de leur copropriété. Etude de dossiers spécifiques (droit de la copropriété, assurances, consultations…) nécessitant une expertise juridique et comptable.","Centre d'affaires","23 rue Jules Vallès","69100","Villeurbanne","04 72 74 60 77","contact@arcrhonealpes.com","","0000000007","Solidarités","00000018","Défense des droits et intérêts","","","","",""
"00015647","Proto INSA Club","","Conception et réalisation d'un prototype à très faible consommation de carburant ; participation à des compétitions mettant en course des véhicules de ce type ; valorisation du diplôme d'ingénieur de l'INSA.","20 avenue Albert Einstein","Batiment J.Verne","69100","VILLEURBANNE","0472437076","pic.asso@insa-lyon.fr","pic.insa-lyon.fr","0000000004","Education / Formation","00000274","Amicales/associations élèves et anciens élèves","-","","","",""
"00015649","Association pour le respect de l'environnement lors des manifestations culturelles et sportives","AREMACS","Limiter les impacts environnementaux des manifestations culturelles et sportives grâce à la mise à disposition de services pour les organisateurs.","71 rue Bellecombe","","69006","Lyon","04 26 00 55 22","lyon@aremacs.com","www.aremacs.com","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","","","","","Grand public et organisateurs d'événements"
"00015661","Association interentreprises de Santé au Travail du Grand Lyon","AST","Organisation, fonctionnement et gestion du service interentreprises de santé au travail.","100 rue du 4 août 1789","","69627","Villeurbanne","04 72 11 38 72","c.dauthier@astgrandlyon.fr","www.astgrandlyon.fr","0000000007","Solidarités","00000017","Santé","Au siège social","","Lundi à jeudi de 8h à 12h et de 13h à 17h Vendredi de 8h à 12h et de 13h à 16h","","Salariés d'entreprises"
"00015666","Lanomadine","","Aide au développement durable et à l'insertion des personnes démunies dans les zones désertiques et semi-désertiques du Maroc par la formation, l'accompagnement et la sensibilisation.","35 cours Emile Zola","","69100","Villeurbanne","","nomadine@orange.fr","www.lanomadine.com","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","Au siège social","","mercredi matin","Sur rendez-vous","Tout public"
"00025815","Villeurbanne scrabble","","Pratique du scrabble duplicate.","chez Mme GERARD","184 rue Francis-de-Pressensé","69100","Villeurbanne","04 78 84 07 49","pid-gerard@orange.fr","","0000000005","Loisirs","00000014","Jeux/collections","Maison Berty Albrecht","14 place Grandclément 69100 Villeurbanne","de 14h30 à 19h00 les mercredis","",""
"00015672","Groupement des entreprises de Villeurbanne","GEVIL","Regrouper et représenter le tissu économique de la ville et de sa périphérie ; favoriser la connaissance mutuelle de ses membres et promouvoir leur complémentarité dans l'intérêt local ; accueillir les créateurs d'entreprise.","54 rue Paul Verlaine","","69100","Villeurbanne","04 78 68 58 89","contact@gevil.fr","www.gevil.fr","0000000003","Economie / Emploi","00000282","Création d'entreprise/développement économique","","","","","Acteurs économiques"
"00015680","Collectif des organisations de solidarité internationale issues des migrations de la région Rhône-Alpes","COSIM","Renforcer la capacité des migrants en Rhône-Alpes et de leurs associations dans la mise en oeuvre de leurs projets au bénéfice de leur pays d'origine, et contribuer à l'action sociale et au développement local en France.","58, rue Raulin","","69007","Lyon","04 81 91 65 68","contact@cosim-rhone-alpes.org","www.cosim-ra.org","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","Au siège social","","","Lundi à vendredi de 10h00 à 13h00 et de 14h00 à 18h00","Tout public dont villeurbannais"
"00015682","Houmaïssa","","Aider les artistes et artisans maliens en difficulté sociale et économique, faire découvrir leur savoir-faire et leurs oeuvres.","6 rue Dedieu","","69100","Villeurbanne","","houmaissa@yahoo.fr","forumsolidaire.com/houmaissa","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","","","","","Artisans du Mali"
"00015683","Banque alimentaire du Rhône","","Aider l'homme à se restaurer, collecter gratuitement, gérer et redistribuer aux associations des denrées alimentaires destinées aux plus démunis.","127 avenue Franklin Roosevelt","","69150","Decines-Charpieu","04 78 26 99 09","ba690@banquealimentaire.org","www.ba69@banquealimentaire.org","0000000007","Solidarités","00000276","Action sociale","Au siège social","","Lundi à vendredi de 8h à 16h toute l'année","Lundi à vendredi de 8h à 16h toute l'année","Personnes démunies"
"00015684","Planet Adam Cré'acteurs","","Conseils et accompagnement à la création d'entreprise.","19 boulevard Lénine","","69200","Vénissieux","04 78 67 83 05","venissieux@planetadam.org","","0000000003","Economie / Emploi","00000282","Création d'entreprise/développement économique","Passage 33","33 rue du 8 mai 1945","Toute la semaine","Mercredi après-midi","Habitants de Villeurbanne et demandeurs d'emploi"
"00024114","Spéléo Club Villeurbanne","SCV","Pratique de la spéléologie, canyonisme et des activtiés sportives, scientifiques et culturelles qui s'y rattachent.","3 rue Rouget de lisle","","69100","Villeurbanne","09 54 15 30 32","speleoclubvilleurbanne@hotmail.com","speleo-villeurbanne.fr","0000000032","Sport","00000284","Activités de plein air - pleine nature","Complexe sportif des Brosses - salle d'escalade + sorties en milieu naturel","214 rue de la Poudrette - Villeurbanne","mercredi 17h - 20h","au siège social les mercredis de 20h30 à 23h00","Spéléologie à partir de 8 ans et canyoning pour les adultes"
"00024117","Office du sport villeurbannais","OSV","Soutenir et encourager toutes les initiatives pour développer la pratique sportive ; soutenir le contrôle médico-sportif ; coordonner et développer les manifestations sportives.","Maison des sportifs","70 rue du docteur Rollet","69100","Villeurbanne","04 78 68 92 44","sport@osvilleurbanne.com","www.osvilleurbanne.com","0000000032","Sport","00000307","Institutions - domaine sportif","Au siège social","","Lundi: 13h30-18h30, Mardi, mercredi et vendredi: 8h30-12h & 13h30-17h, Jeudi: 8h30-12h & 13h30-18h30","sur rendez-vous","soutenir, encourager les efforts et toutes les initiatives tendant à répondre et à développer la pratique sportive, soutenir le contrôle médico-sportif, coordonner et développer les manifestations sportives..."
"00024118","Sporting Club Maccabi","SC Maccabi","Pratique  du football","4 rue Malherbes","","69100","Villeurbanne","06 09 41 34 19","jo@darpeje.com","http://rhone-alpes.fff.fr/competitions/php/club/club_fiche.php?cl_no=13310","0000000032","Sport","00000299","Football","Stade Cyprian","84 rue Cyprian - Villeurbanne","lundi, mardi et jeudi de 17h30 à 21h45","","à partir de 5 ans"
"00024184","BB Alo","BBALO","Activités aquatiques : pré-post natales en piscine bébés dans l'eau pour les 0 à 7 ans et leurs parents","Palais du travail","9 place Lazare Goujon","69100","Villeurbanne","","contact@bbalo.fr","www.bbalo.fr","0000000032","Sport","00000283","Activités aquatiques - natation","Piscine municipale des Gratte-Ciel","9 place Lazare Goujon (sous le TNP)","vendredi 17h-19h, samedi 8h-14h, dimanche 8h-13h","aucune","familles / enfants de 4 mois à 7 ans et femmes enceintes"
"00024193","Echecs club de Villeurbanne","","Pratique et enseignement du jeu d'échecs.","Maison Berty Albrecht","14 place Grandclément","69100","Villeurbanne","06 35 96 27 90","courrier@echecsclubvilleurbanne.fr","www.echecsclubvilleurbanne.fr","0000000032","Sport","00000314","Sports cérébraux","Au siège social","","mardi et jeudi 16h-19h, mercredi 14h-20h, vendredi 16h-21h et samedi 15h-19h","mercredi et samedi 14h-18h ou sur RDV","A partir de 8 ans"
"00024238","Comité du Rhône handisport","CRhandisp","activités sportives pour handicapés moteurs et sensoriels","4 rue des Charmettes","","69100","Villeurbanne","04 78 89 02 02","comitehandisport69@free.fr","comitehandisport69.fr","0000000032","Sport","00000307","Institutions - domaine sportif","","","","","public en situation de handicap, associations proposant du sport adapté"
"00024366","Amicale Laïque Antonin Perrin - omnisports","ALAP","Aquaform - natation, parcours découverte, basket-ball, Escalade - Montagne - ski, Tennis de table, randonnées pédestres, randonnées montagne...","14 rue Antonin Perrin","","69100","Villeurbanne","04 78 03 20 31","alap.villeurbanne@wanadoo.fr","www.alap-asso.fr","0000000032","Sport","00000309","Omnisport - multi sports","Au siège social","","se renseigner sur le site internet de l'association","le mardi, jeudi, et vendredi de 18h à 19h - le mercredi de 16h à 18h45","A partir de 5 ans - selon les sections"
"00024410","Taekwondo Club Villeurbanne","TKD vill","Pratique du taekwondo.","70 rue Racine","","69100","Villeurbanne","04 78 84 41 90","lydia.trycos@orange.fr","http://www.tkdvilleurbanne.org/historique/","0000000032","Sport","00000286","Arts martiaux","Gymnase scolaire Jules Ferry","16 rue du Progrès - Villeurbanne","créneaux du lundi, mercredi, jeudi et vendredi en soirée (jusqu'à 22h) en fonction du type de cours choisi et du niveau: se renseigner auprès du club","Par téléphone du lundi au vendredi","A partir de 4 ans"
"00024416","Comité de rugby du lyonnais","","Association délégataire de la Fédération Française de Rugby pour l’organisation du rugby amateur sur les départements de l’Ain (01), de l’Isère Nord (38), de la Loire (42) et du Rhône (69).","380 Rue des Frères Voisin","ZAC du Chapotin","69970","Chaponnay","04 78 79 67 90","crl@wanadoo.fr","www.rugbylyonnais.fr","0000000032","Sport","00000307","Institutions - domaine sportif","Au siège social","","","voir site internet ou contact par téléphone","club de rygby du lyonnais et particulier cherchant à pratiquer le rugby sur ce territoire"
"00024417","Association sportive universitaire lyonnaise - section vol libre","ASUL VL","Pratique, enseignement et promotion du vol libre : deltaplane, parapente, cerf-volant, kite surf.","Complexe sportif Boiron-Granger","51 rue Pierre-Baratin","69100","Villeurbanne","04 78 74 42 24","jacky.vega@free.fr","http://www.asul.org","0000000032","Sport","00000313","Sports aériens","Site de vol libre - pleine nature","","Se renseigner auprès du club ou sur le site intenet de la section vol libre","Tous les jeudis soirs au siège social (hors vacances scolaires) de 19h45 à 22h","Tout public pour les vols découverte, à partir de 14 ans pour la pratique individuelle."
"00024426","Centre d'étude A corps et accord","","Vaincre la peur de l'eau, activité physiques adaptées aux séniors, favoriser une meilleure  conscience de ses potentialités: gymnastique d'entretien et natation - formation - information - conseil - maintien en forme - éveil corporel","61 cours de la République","","69100","Villeurbanne","04 78 68 89 92","contact@acorpsetaccord.fr","acorpsetaccord.jimdo.com","0000000032","Sport","00000283","Activités aquatiques - natation","Au siège social et dans les 3 piscines de Villeurbanne","Villeurbanne","Tous les jours sauf le lundi.","téléphoner au 04 78 68 89 92 et voir site internet de l'association","à partir de 4 ans (à plus de 100 ans )"
"00024437","Fédération française d'études et de sports sous-marins - comité interrégional Rhône Alpes Bourgogne Auvergne","FFESSM","Pratique de la plongée sous marine","360 cours Emile Zola","","69100","Villeurbanne","04 78 85 38 89","ffessmraba@wanadoo.fr","www.comiteraba.fr","0000000032","Sport","00000307","Institutions - domaine sportif","","","","","à partir de 8 ans"
"00024441","Club athlétique des Maisons-Neuves de Villeurbanne","CAMNV","Pratique de l'athlétisme","Stade M.T. Eyquem","Petit chemin du Roulet","69100","Villeurbanne","04 78 80 55 50","camnv@wanadoo.fr","","0000000032","Sport","00000287","Athlétisme","stade M.T. Eyquem","petite rue du Roullet - Villeurbanne","le mardi et jeudi","","à partir de 10 ans"
"00024459","Association Sportive Villeurbannaise d'Eveil Lyonnais - section ski montagne","ASVEL ski","Pratique des activités de loisir en montagne ski alpin - surf - télémark - ski de randonnée - ski de fond, ski nordique - randonnée pédestre - alpinisme - via ferrata - raquettes à neige - escalade","245 cours Emile Zola","","69100","Villeurbanne","04 78 84 91 21","asvelskimontagne@orange.fr","www.asvelskimontagne.fr","0000000032","Sport","00000316","Sports d'hiver","multiples","Villeurbanne et extérieurs","multiples - se renseigner auprès du club ou sur le site internet","au siège ou par téléphone le jeudi de 19h30 à 22h00","à partir de 6 ans - tout public"
"00024460","Ligue Rhône-Alpes de football","LRAF","Organisation, développement de la pratique du football, lien entre elle-même et ses clubs par délégation de la FFF.","237 rue Léon Blum","","69628","Villeurbanne","04 72 15 30 30","ligue@rhone-alpes.fff.fr","rhone-alpes.fff.fr","0000000032","Sport","00000307","Institutions - domaine sportif","Au siège social","","","9h00 à 12h00 et 14h00 à 17h30 du lundi au vendredi",""
"00024464","Association Sportive Buers Villeurbanne - section Basket","ASBV BB","Pratique du basket","20 rue Armand","","69100","Villeurbanne","04 72 65 91 36","asbuersbasket@wanadoo.fr","www.asbuers.com","0000000032","Sport","00000289","Basket ball","Gymnase de l'école Jean Moulin + Complexe sportif Armand","1 rue Alfred Brinon + 20 rue L. Armand","lundi, mardi, vendredi : 18h00-20h00, mercredi: 16h30-22h00, jeudi: 18h00-22h00.  Les créneaux sont répartis selon les niveaux d'évolution + créneaux en fonction des catégories mardi et jeudi 16h45-22h00","Par téléphone : lundis et vendredi 18h30 à 20h30","à partir de 7 ans"
"00024476","Team'staff","","Rock, Boogie, Jazz, danses irlandaises, Street jazz, Ragga, New Style, Break, latines, standart, zumba, west coast swing.","Ecole de danse Perga","24 rue Léon Blum","69100","Villeurbanne","04 72 33 94 21","annieperga@gmail.com","www.pergadanse.fr","0000000010","Danse","00000027","Danses sportives","Au siège social","","Lundi, mardi, jeudi et vendredi de 16h30 à 22h Mercredi de 13h30 à 22h","Du lundi au vendredi de 9h à 12h et de 15h à 21h","A partir de 4 ans"
"00024494","Amicale Scolaire Laïque des Gratte-Ciel - omnisports","ASLGC","Regrouper les scolaires, périscolaires, ou anciens élèves, parents et amis de l'école laïque pour la pratique de l'éducation physique, sportive, culturelle, danse et couture. Propose des activités aquatiques, gymniques, tennis, plein air etc.","16 rue Raspail","","69100","Villeurbanne","04 78 85 43 92","aslgc-asso@laposte.net","www.aslgc.fr","0000000032","Sport","00000309","Omnisport - multi sports","Selon les disciplines / Gymnase J Zay, piscine Boulloche, centre nautique E Gagnaire, stade des Iris, complexe sportif des Brosses...","","variables selon la section concernée, voir site internet de l'association","","tous publics-dès 3 ans pour la gym, dès 4 ans pour la natation,la danse et le tennis, dès 6 ans pour la GRS et dès 8 ans pour l'escalade"
"00024495","ASVEL Basket - association","ASVEL BB","Pratique du basket","40 / 44 avenue Marcel Cerdan","","69100","Villeurbanne","04 72 14 17 28","asvel@asvel.com","www.asvelbasketasso.fr","0000000032","Sport","00000289","Basket ball","Astroballe + Gymnase Albert Camus + complexe sportif Raphaël De Barros + Complexe sportif des Brosses (gymnase)","","","","A partir de 4 ans"
"00024506","Kidan club","Kidan","Tai chi chuan, aikitaïso, Qi Qong, Aïdo, Kenjutsu","Locaux VAP","93 rue du 4 aout 1789","69100","Villeurbanne","06 07 16 92 50","p.liaudet@orange.fr","www.kidan-club69.fr","0000000032","Sport","00000293","Arts martiaux internes / Disciplines énergétiques","Gymnase de l'école Château Gaillard","18 rue Montgolfier","lundi 18h30-21h00, jeudi: 18h30-21h30 et vendredi 18h-19h30","","plus de 15 ans"
"00024507","Judo Club Lyon Villeurbanne","JCLV","Pratique du judo, aïkido, karaté et disciplines associées.  Pratique de l'éducation physique, activités gymniques d'entretien, activités sportives et ludiques, activités sportives de pleine nature.","13 rue Antonin Perrin","","69100","Villeurbanne","04 78 84 78 93","jclv@cegetel.net","www.jclvclub.fr","0000000032","Sport","00000286","Arts martiaux","Au siège social","13 rue A Perrin - Villeurbanne","Tous les jours de 16h à 22h - mercredi de 9h30 à 12h et de 13h à 22h - samedi de 9h00 à 12h et de 14h à 16h30","","A partir de 4 ans - selon discipline"
"00024508","Le samouraï villeurbanne","","Pratique du karaté, judo, taekwondo, boxe, Kung-Fu, Krav maga, body karaté et gym.","5 rue Melzet","","69100","Villeurbanne","04 78 89 72 55","","www.lesamouraiclub.com/","0000000032","Sport","00000286","Arts martiaux","Au siège social","","lundi, mardi, jeudi, vendredi: 17h00-21h00 mercredi: 14h00-20h00 samedi: 9h00-12h00","Du lundi au vendredi de 17h à 20h.","A partir de 4 ans"
"00024509","Villeurbanne Natation","","Pratique de la natation à partir de 5 ans : de l'école de natation à la natation adulte aquaforme","Centre nautique Etienne-Gagnaire","59 avenue Marcel-Cerdan","69100","Villeurbanne","04 78 26 37 75","villeurbannenatation@free.fr","villeurbannenatation.com","0000000032","Sport","00000283","Activités aquatiques - natation","Centre nautique Etienne Gagnaire - Piscine Andre Boulloche - Piscine des Gratte ciel","Villeurbanne","voir site internet de l'association","au Centre Nautique Etienne-Gagnaire (CNEG) mardi et jeudi (sauf vacances scolaires et jours fériés) de 18h00 à 19h30","A partir de 5 ans"
"00024510","Association Sportive Villeurbannaise d'Eveil Lyonnais - section athlétisme","ASVEL athl","Athlétisme: course, saut, lancer (piste & hors stade…) Athlé santé: marche nordique, remise en forme,","245 cours Emile Zola","","69100","Villeurbanne","04 78 79 13 18","","www.asvelathle.com","0000000032","Sport","00000287","Athlétisme","stade Boiron Granger +  MT Eyquem, Parcs:  Feyssine + Tête d'Or + Miribel + Parilly: selon spécialité","","se renseigner auprès du club et sur leur site internet","au siège: lundi et jeudi après midi","à partir de 6 ans"
"00024513","Rhône Sportif Omnisports","RSO","Pratique de l'éducation physique, des sports, ainsi que toute autre activité tenant à l'accueil, au bien être, à la formation et à la promotion de ses membres et de la jeunesse - tennis de table, boule lyonnaise, rugby à XV, tennis, foot de table.","18 rue Tranquille","","69100","Villeurbanne","04 78 80 05 01","rhone-sportif@hotmail.fr","","0000000032","Sport","00000309","Omnisport - multi sports","Au siège social","","Du lundi au vendredi selon les sections","Mardi et jeudi 9h30-18h00 Vendredi de 9h30-16h30","A partir de 4 ans"
"00024516","Association Sportive Villeurbanne Basket Féminin","ASVBF","Pratique de l'éducation physique par le basket féminin exclusivement : apprentissage, développement et pratique du basket féminin.","251 cours Emile Zola","","69100","Villeurbanne","04 78 85 70 66","contact@asvbf.fr","www.asvbf.fr","0000000032","Sport","00000289","Basket ball","Gymnases De Barros et Léon Jouhaux","","Entrainement quotidien, selon les catégories - se renseigner auprès du club ou sur le site internet de l'association","Secrétariat: du lundi au jeudi 18h30 - 21h","A partir de 4 ans."
"00024517","Basket Charpennes/Croix-Luizet","BCCL","Pratique du basket-ball en compétition et loisir","5 bis rue Emile Dunière","","69100","Villeurbanne","04 78 93 90 78","basket.bccl@free.fr","http://basket.bccl.free.fr","0000000032","Sport","00000289","Basket ball","Gymnase Matéo - gymnase Jean-Vilar - gymnase du Tonkin - gymnase Albert-Camus - Gymnase INSA B - Gymnase Faÿs - gymnase mère Teresa","","voir site internet du club","lundi, mardi, mercredi, jeudi, samedi: 14h à 17h","à partir de 4 ans"
"00024518","Amicale Sporting Club des Electro-Mécaniciens","ASCEM","Pratique d'activités sportives et culturelles dont: cyclotourisme, VTT, randonnées pédestres, loisirs et culture, pelote basque, pétanque, plongée, tennis, anciens de delle.","12/14 rue Alfred de Musset","","69100","Villeurbanne","06 88 23 34 54","","www.omnisportsascemvilleurbanne.com","0000000032","Sport","00000309","Omnisport - multi sports","Au siège social","","Tous les jours, crénaux en fonction de l'activité choisie","","A partir de 10 ans selon discipline pratiquée"
"00024520","Association Sportive Villeurbannaise d'Éveil Lyonnais omnisports - section boules","ASVEL boules","boules lyonnaises","245 cours Emile Zola","","69100","Villeurbanne","04 78 79 13 18","","www.asvelomnisports.fr","0000000032","Sport","00000290","Boules - pétanque","boulodrome municipal de la ligne de l'est","17 rue de la ligne de l'Est - Villeurbanne","mardi et jeudi 18h00-21h00","","tout public"
"00024522","Club pugilistique villeurbannais","CPV","Pratique de la boxe anglaise (éducative, amateur, professionnelle et loisir).","Locaux VAP","93 rue du 4 août","69100","Villeurbanne","","cpv.boxe@hotmail.fr","","0000000032","Sport","00000315","Sports de combat","Au siège social","","lundi, mercredi et vendredi: 18h00-21h45, mardi et jeudi: 17h30-19h00","voir sur place lors des entraînements","A partir de 6 ans pour tous et toutes"
"00024524","Canoë Kayak Touristique et Sportif de Villeurbanne","CKTSV","Pratique du canoë-kayak et disciplines associées (descente, slalom, kayak polo, randonnées nautiques) en piscine, bassins artificiels (comme Sault Brénaz et St Pierre de Boeuf) et milieu naturel.","Centre Nautique Etienne Gagnaire","59 Avenue Marcel Cerdan","69100","Villeurbanne","06 95 89 22 26","contact@cktsv.fr","www.cktsv.fr","0000000032","Sport","00000284","Activités de plein air - pleine nature","Centre nautique Etienne Gagnaire et rivières naturelles & artificielles (St pierre de Bœuf & Sault Brénaz)","59 avenue Marcel Cerdan","samedi de 12h00 à 14h00, mercredi 18h - ou sorties à la journée sur plans naturels pendant les week-end et les vacances scolaires","permanence téléphonique","Tout public à partir de 18 ans"
"00024525","Club Villeurbannais de danse sportive","CVDS","Danse sportive standard et danses latines.","34 rue du docteur Rollet","","69100","Villeurbanne","04 78 85 32 23","contact@ecolededanseribas.com","www.ecolededanseribas.com","0000000010","Danse","00000027","Danses sportives","Au siège social + 10 rue des bons amis","","Tous les soirs de la semaine / voir site internet de l'association","","à partir de 4 ans"
"00024527","Athlétique Escrime Club Villeurbannais","AECV","Pratique de l'éducation physique et du sport et plus particulièrement de l'escrime compétition & loisir","Centre Nautique Etienne-Gagnaire","59 avenue Marcel-Cerdan","69100","Villeurbanne","04 72 44 31 71","escrime.villeurbanne@free.fr","http://escrime.villeurbanne.free.fr/Joomla/","0000000032","Sport","00000297","Escrime","Au siège social","Centre Nautique Etienne gagnaire 59, av Marcel cerdan 69100 Villeurbanne","lundi 18h30-21h00, mardi et vendredi 17h30-21h00, mercredi 14h-18h, jeudi 17h30-21h30","Mercredi 14h00-20h00","A partir de 5 ans."
"00024528","ASA Villeurbanne","ASAV","Promouvoir le football, développer le sens artistique, le goût des échanges, le perfectionnement moral, intellectuel et physique de ses adhérents, et organiser des manifestations.","40 rue Jules Guesde","","69100","Villeurbanne","06 62 30 81 06","h.kerouani@neuf.fr","asav.fr","0000000032","Sport","00000299","Football","Au siège social (stade Ahmed Mokrane)","","lundi à vendredi 17h30 - 22h00","","dès 5 ans"
"00024529","Athlétic club de Villeurbanne - anciennement Association Sportive du Tonkin","AS Tonkin","Pratique de l'éducation physique et des activités sportives, sensibilisation des jeunes aux valeurs éducatives et sociales du sport en général,  Pratique du Football","Maison des sportifs","70 rue du Docteur Rollet","69100","Villeurbanne","06 95 45 54 23","acv@live.fr","http://rhone.fff.fr/competitions/php/club/club_fiche.php?cl_no=21794","0000000032","Sport","00000299","Football","stade de la Viabert","169 rue Anatole France - Villeurbanne","lundi et vendredi: 17h30 - 19h30, mardi et jeudi:  17h30-22h,  mercredi: 15h30-19h30","","tout public dès 4 ans"
"00024531","Association sportive Saint Jean","AS St Jean","Pratique du football.","Centre d'animation St Jean","Petite rue du roulet","69100","Villeurbanne","06 02 61 10 44","asstjeanvilleurbanne@hotmail.fr","rhone-alpes.fff.fr/competitions/php/club/club_fiche.php?cl_no=100166","0000000032","Sport","00000299","Football","Stade Marie-Thérèse Eyquem et stade des Peupliers (St Jean)","","mardi et vendredi à partir de 19h00","",""
"00024533","Gymnastique Volontaire 2e avenue","GV 2è aven","Gymnastique d'entretien","chez Madame FENOUX Josette","131 rue Louis Becker","69100","Villeurbanne","04 78 84 60 89","","","0000000032","Sport","00000285","Activités physiques d'entretien corporel","gymnase Edouard Herriot","rue H Khan - Villeurbanne","mardi de 18h à 20h et jeudi de 18h à 19h30","","adultes - à partir de 16 ans"
"00024535","Gymnastique volontaire Jean Jaurès","GV JJ","Pratique de la gymnastique d'entretien","17 rue Richelieu","","69100","Villeurbanne","","gymvolontaire-069003@epgv.fr","","0000000032","Sport","00000285","Activités physiques d'entretien corporel","Au siège social (entrée au 33 rue Lafontaine)","","mardi de 18h15 à 20h15 et jeudi de 18h15 à 19h15","","à partir de 18 ans"
"00024536","Villeurbanne handball association","VHA asso","Pratique du handball, de l'initiation (mini hand à partir de 6 ans) à la haute compétition; section loisir en parallèle.","Salle des Gratte-Ciel","98 rue Francis de Pressensé","69100","Villeurbanne","09 52 46 98 18","contact@villeurbanneha.fr","www.villeurbanneha.fr","0000000032","Sport","00000304","Handball","Gymnase du Tonkin / Salle des Gratte-Ciel / Gymnase Jean Vilar / Gymnase UFR Staps","Villeurbanne","multiples selon lieu et catégories de jeu - voir site internet de l'association","mercredi: 16h -18h et vendredi: 16h - 18h","A partir de 6 ans (section masculine et féminine)"
"00024538","Judo Club Saint-Jean","JCSJ","Pratique du judo.","Petite rue du Roulet","BP 1618","69100","Villeurbanne","04 78 80 12 31","a.trolet@free.fr","","0000000032","Sport","00000286","Arts martiaux","Complexe sportif des Peupliers - salle d'arts martiaux","111 rue de Verdun - Villeurbanne","Le lundi et vendredi 17h30-19h30","","A partir de 4 ans"
"00024539","Sambo Villeurbanne","","Pratique de toutes les formes de SAMBO et pour tous les niveaux.","Locaux VAP","93 rue du 4 août","69100","Villeurbanne","09 54 68 51 87","daniel.mestre@volvo.com","sambo69team.free.fr","0000000032","Sport","00000315","Sports de combat","Au siège social (Salle de lutte) + Complexe sportif des Brosses (salle de combat) 214 rue de la Poudrette","","Mercredi de 19h-21h30 + lundi et jeudi 19h30-22h00","Pendant les séances.","A partir de 5 ans."
"00024540","Judo Club de l'Est Lyonnais","JCEL","Pratique du judo","MJC Villeurbanne","46 cours Damidot","69100","Villeurbanne","06 51 81 42 93","judo.jcel@gmail.com","jceljudo.sportsregions.fr/","0000000032","Sport","00000286","Arts martiaux","MJC Damidot + gymnase collège des Gratte-Ciel + dojo complexe sportif des Brosses","Villeurbanne","crénaux en fonction des âges, entraînements tous les soirs en semaine à partir de 17h","au début ou à la fin des crénaux sur le lieu d'entrainement","à partir de 4 ans"
"00024541","Association Sportive Universitaire Lyonnaise Karaté","ASUL karaté","Pratique du karaté","75 cours Vitton","","69006","Lyon","","asulkarate@live.fr","www.asulkarate.net","0000000032","Sport","00000286","Arts martiaux","Campus de la Doua - dojo Tronchet","27-29 bd du 11 novembre - Villeurbanne Salle de danse de l'UFR Staps","Mardi 17h30 , Mercredi 18h","","tout public à partir de 4 ans"
